imo,ism_name,ism_imo,ism_address,owner_name,owner_imo,owner_address,commercial_name,commercial_imo,commercial_address
9290385,MEI ZHOU DAO SHIPMANAGEMENT,0231214,"Room 1108, L1, Block E, Shouwei Outlets, Lane 188, Panzhong Donglu, Qingpu Qu, Shanghai, 200000, China.",QING JU SHIPPING LTD,0092331,"Room 13, 27th Floor, Ho King Commercial Centre, 2-16, Fa Yuen Street, Mong Kok, Kowloon, Hong Kong, China.",QING JU SHIPPING LTD,0092331,"Room 13, 27th Floor, Ho King Commercial Centre, 2-16, Fa Yuen Street, Mong Kok, Kowloon, Hong Kong, China."
9248825,PLAZA MAYOR INTL GROUP LTD,0275566,"Room 812, 329, Hengfeng Lu, Jing'an Qu, Shanghai, 200070, China.",ANNA NAVIGATION SA,6376861,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands.",ANNA NAVIGATION SA,6376861,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands."
9258870,SALINA SHIP MANAGEMENT PVT LTD,6422208,"Office 603, Shagun Reality Insignia, 195, Sector 19, Ulwe, Navi Mumbai, Maharashtra, 410206, India.",STEADYBLUE SHIPPING SA,6475164,"C/O: Salina Ship Management Pvt Ltd Office 603, Shagun Reality Insignia, 195, Sector 19, Ulwe, Navi Mumbai, Maharashtra, 410206, India.",SALINA SHIP MANAGEMENT PVT LTD,6422208,"Office 603, Shagun Reality Insignia, 195, Sector 19, Ulwe, Navi Mumbai, Maharashtra, 410206, India."
9235892,UNKNOWN,9991001,Unknown,MARISMAJESTY MARITIME LTD,0138129,"Saint John's, Antigua & Barbuda.",MARISMAJESTY MARITIME LTD,0138129,"Saint John's, Antigua & Barbuda."
9290397,DOO SHIPS LTD,0140969,"Room 702, 555, Xujiahui Lu, Huangpu Qu, Shanghai, 200001, China.",AQUILA ENTERPRISES CORP,0353575,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands.",AQUILA ENTERPRISES CORP,0353575,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands."
9360453,UNKNOWN,9991001,Unknown,LALAZAR SHIPPING PVT LTD,5132551,"C/O: Pakistan National Shipping Corp PNSC Building, Moulvi Tamizuddin Khan Road, Karachi, 74000, Pakistan.",PAKISTAN NATIONAL SHPG CORP,0633987,"PNSC Building, Moulvi Tamizuddin Khan Road, Karachi, 74000, Pakistan."
9411185,STAR MARINE MANAGEMENT INC,1317884,"1, Zisimopoulou Street, Glyfada, 166 74, Athens, Greece.",ELLI SHIPTRADE LTD,0275190,"C/O: Star Marine Management Inc 1, Zisimopoulou Street, Glyfada, 166 74, Athens, Greece.",STAR MARINE MANAGEMENT INC,1317884,"1, Zisimopoulou Street, Glyfada, 166 74, Athens, Greece."
9408554,DINGHUI HK SHIPPING CO LTD,0256306,"Room 1005, 10th Floor, Block A, Fortune Center, 211, Qilin Lu, Donggang Jiedao, Putuo Qu, Zhoushan, Zhejiang, 316100, China.",HEBO SHIPPING LTD-MAI,0317351,"C/O: Dinghui (HK) Shipping Co Ltd Room 1005, 10th Floor, Block A, Fortune Center, 211, Qilin Lu, Donggang Jiedao, Putuo Qu, Zhoushan, Zhejiang, 316100, China.",DINGHUI HK SHIPPING CO LTD,0256306,"Room 1005, 10th Floor, Block A, Fortune Center, 211, Qilin Lu, Donggang Jiedao, Putuo Qu, Zhoushan, Zhejiang, 316100, China."
9224453,BRIGHT MARINE SOLUTIONS CO,0182458,"Office 1002, Kesar Building, Sector 19, 400705, Palm Beach Road, Navi Mumbai, Maharashtra, India.",MARS NAVIGATION SA,6362950,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands.",MARS NAVIGATION SA,6362950,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands."
9241683,BONVOY MARINE LTD,0352621,"Room 301, Unit 2, Building 7, Ronghua Community, 2, Weihai Lu, Shibei Qu, Qingdao, Shandong, 266021, China.",POMELO SHIPPING LTD,0355829,"Flat 06, 17th Floor, Wellborne Commercial Centre, 8, Java Road, North Point, Hong Kong, China.",BONVOY MARINE LTD,0352621,"Room 301, Unit 2, Building 7, Ronghua Community, 2, Weihai Lu, Shibei Qu, Qingdao, Shandong, 266021, China."
9248447,SEA TRADE MARINE SA,6217279,"40, Nafsikas Street, Voula, 166 73, Athens, Greece.",BLUE LAGOON COMMERCIAL ENT,6381561,"C/O: Sea Trade Marine SA 40, Nafsikas Street, Voula, 166 73, Athens, Greece.",SEA TRADE MARINE SA,6217279,"40, Nafsikas Street, Voula, 166 73, Athens, Greece."
9364227,PVTRANS SHIPS MANAGEMENT,5640351,"Mezzanine Floor, PVFCCo Tower, 43, Mac Dinh Chi, Dakao Ward, District 1, Ho Chi Minh City, Vietnam.",PETROVIETNAM TRANSPORTATION,5027446,"2nd Floor, PVFCCo Tower, 43, Mac Dinh Chi, Dakao Ward, District 1, Ho Chi Minh City, Vietnam.",PETROVIETNAM TRANSPORTATION,5027446,"2nd Floor, PVFCCo Tower, 43, Mac Dinh Chi, Dakao Ward, District 1, Ho Chi Minh City, Vietnam."
9191711,UNKNOWN,9991001,Unknown,CIELO MARITIME LTD,6410134,"Room 6, 17th Floor, Wellborne Commercial Centre, 8, Java Road, North Point, Hong Kong, China.",CIELO MARITIME LTD,6410134,"Room 6, 17th Floor, Wellborne Commercial Centre, 8, Java Road, North Point, Hong Kong, China."
9192258,UNKNOWN,9991001,Unknown,BLEND NAVIGATION LTD,6285904,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands.",BLEND NAVIGATION LTD,6285904,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands."
9360465,PAKISTAN NATIONAL SHPG CORP,0633987,"PNSC Building, Moulvi Tamizuddin Khan Road, Karachi, 74000, Pakistan.",SARGODHA SHIPPING PVT LTD,6342285,"C/O: Pakistan National Shipping Corp PNSC Building, Moulvi Tamizuddin Khan Road, Karachi, 74000, Pakistan.",PAKISTAN NATIONAL SHPG CORP,0633987,"PNSC Building, Moulvi Tamizuddin Khan Road, Karachi, 74000, Pakistan."
